X,Y,Type
82.2861,75.0242,total
-152.97,-133.858,muon
-152.97,-133.858,total
-743.878,10.5353,muon
-743.878,10.5353,total
-587.31,-212.66,muon
-587.31,-212.66,total
994.015,519.214,muon
994.015,519.214,total
-124.045,419.695,muon
-124.045,419.695,total
4.80852,48.79,muon
4.80852,48.79,total
1717.68,-1261.2,muon
1717.68,-1261.2,total
-144.767,-7.76465,muon
-144.767,-7.76465,total
-14.9396,-73.2722,muon
-14.9396,-73.2722,total
-61.8778,-27.7055,muon
-61.8778,-27.7055,total
-179.567,31.2995,muon
-179.567,31.2995,total
-106.263,-157.355,muon
-106.263,-157.355,total
-66.3922,-110.579,muon
-66.3922,-110.579,total
-504.419,79.4939,muon
-504.419,79.4939,total
472.876,-209.091,muon
472.876,-209.091,total
74.5083,96.3952,muon
74.5083,96.3952,total
55.6126,50.7164,muon
55.6126,50.7164,total
-36.8229,9.94605,muon
-36.8229,9.94605,total
322.479,-73.3717,muon
322.479,-73.3717,total
114.806,-7.03058,muon
114.806,-7.03058,total
-49.814,18.8948,muon
-49.814,18.8948,total
-262.782,-99.3677,muon
-262.782,-99.3677,total
-78.9687,73.7667,muon
-78.9687,73.7667,total
-216.823,159.419,muon
-216.823,159.419,total
220.152,186.972,muon
220.152,186.972,total
-112.333,45.7348,muon
-112.333,45.7348,total
2364.13,315.979,muon
2364.13,315.979,total
-392.52,-40.2323,muon
-392.52,-40.2323,total
98.9641,-29.7261,muon
98.9641,-29.7261,total
101.578,-77.8193,muon
101.578,-77.8193,total
53.2108,-371.174,muon
53.2108,-371.174,total
398.952,9.92948,muon
398.952,9.92948,total
-46.1726,-473.273,muon
-46.1726,-473.273,total
-106.549,29.0929,muon
-106.549,29.0929,total
76.8657,60.7333,muon
76.8657,60.7333,total
-826.999,346.073,muon
-826.999,346.073,total
25.7227,53.9822,muon
25.7227,53.9822,total
111.122,-30.627,muon
111.122,-30.627,total
42.2357,402.917,muon
42.2357,402.917,total
18.9614,196.117,muon
18.9614,196.117,total
-155.961,324.842,muon
-155.961,324.842,total
245.68,121.914,muon
245.68,121.914,total
46.2577,249.129,muon
46.2577,249.129,total
-215.423,75.9651,muon
-215.423,75.9651,total
-640.046,94.8741,muon
-640.046,94.8741,total
-643.657,-1.03196,muon
-643.657,-1.03196,total
-299.051,-96.3495,muon
-299.051,-96.3495,total
1029.99,-293.006,muon
1029.99,-293.006,total
-248.23,-126.574,muon
-248.23,-126.574,total
601.327,-220.278,muon
601.327,-220.278,total
78.8242,16.5467,muon
78.8242,16.5467,total
-31.8734,104.926,muon
-31.8734,104.926,total
-27.9763,-59.8033,muon
-27.9763,-59.8033,total
238.796,36.4103,muon
238.796,36.4103,total
-1297.33,1932.43,muon
-1297.33,1932.43,total
-243.765,-10.3463,muon
-243.765,-10.3463,total
-95.719,51.7312,muon
-95.719,51.7312,total
-227.943,-27.142,muon
-227.943,-27.142,total
1174.45,-1356.91,muon
1174.45,-1356.91,total
-789.517,1076.53,muon
-789.517,1076.53,total
70.9306,-126.412,muon
70.9306,-126.412,total
-157.453,239.402,muon
-157.453,239.402,total
-1262.4,1088.01,muon
-1262.4,1088.01,total
47.1282,-3.90398,muon
47.1282,-3.90398,total
50.173,-219.707,muon
50.173,-219.707,total
-142.17,14.484,muon
-142.17,14.484,total
38.8073,-20.1827,muon
38.8073,-20.1827,total
-61.415,16.4577,muon
-61.415,16.4577,total
-606.582,36.2125,muon
-606.582,36.2125,total
-1100.24,-535.731,muon
-1100.24,-535.731,total
-48.1588,-35.8031,muon
-48.1588,-35.8031,total
-56.6683,-63.1486,muon
-56.6683,-63.1486,total
128.903,-15.9311,muon
128.903,-15.9311,total
-80.0166,-293.217,muon
-80.0166,-293.217,total
251.186,83.35,muon
251.186,83.35,total
33.7361,-13.9407,nucleus
33.7361,-13.9407,total
-139.488,-27.8792,muon
-139.488,-27.8792,total
188.61,56.128,muon
188.61,56.128,total
-787.028,-279.781,muon
-787.028,-279.781,total
-105.96,-70.6781,muon
-105.96,-70.6781,total
113.963,174.203,muon
113.963,174.203,total
-1086.22,823.038,muon
-1086.22,823.038,total
-730.212,-69.3216,muon
-730.212,-69.3216,total
-59.6055,27.032,muon
-59.6055,27.032,total
-1395.36,-1397.65,muon
-1395.36,-1397.65,total
228.616,-152.545,muon
228.616,-152.545,total
1895.4,-274.853,electron
1895.4,-274.853,total
-9.75041,-53.6218,muon
-9.75041,-53.6218,total
-70.8263,-7.74461,muon
-70.8263,-7.74461,total
41.6315,499.56,muon
41.6315,499.56,total
-90.4197,-92.9485,muon
-90.4197,-92.9485,total
379.236,-226.64,muon
379.236,-226.64,total
1070.91,-107.54,muon
1070.91,-107.54,total
148.3,-43.3804,muon
148.3,-43.3804,total
-1200.61,-83.3384,muon
-1200.61,-83.3384,total
-96.4887,72.8678,muon
-96.4887,72.8678,total
26.7587,-452.65,muon
26.7587,-452.65,total
4187.12,-868.551,muon
4187.12,-868.551,total
44.6048,6.55525,muon
44.6048,6.55525,total
-4210.75,-1158.18,muon
-4210.75,-1158.18,total
159.778,-33.5934,muon
159.778,-33.5934,total
166.514,-658.451,muon
166.514,-658.451,total
342.72,-77.7199,muon
342.72,-77.7199,total
-43.6984,-17.2498,muon
-43.6984,-17.2498,total
48.1756,-21.1224,muon
48.1756,-21.1224,total
271.894,-198.41,muon
271.894,-198.41,total
282.936,-176.668,muon
282.936,-176.668,total
149.859,9.16123,muon
149.859,9.16123,total
-126.28,-64.96,muon
-126.28,-64.96,total
118.657,173.458,muon
118.657,173.458,total
-605.955,348.935,muon
-605.955,348.935,total
-135.117,0.443328,muon
-135.117,0.443328,total
-345.653,-175.468,electron
-345.653,-175.468,total
28.091,-90.2429,muon
28.091,-90.2429,total
-87.7401,164.091,muon
-87.7401,164.091,total
-314.734,272.543,muon
-314.734,272.543,total
-989.94,-156.623,muon
-989.94,-156.623,total
181.281,71.5599,muon
181.281,71.5599,total
185.555,-501.656,muon
185.555,-501.656,total
-491.656,44.4556,electron
-491.656,44.4556,total
50.727,22.9809,muon
50.727,22.9809,total
1037.41,-580.041,muon
1037.41,-580.041,total
-1895.66,884.768,muon
-1895.66,884.768,total
101.577,-20.8515,muon
101.577,-20.8515,total
-70.7634,-25.5336,muon
-70.7634,-25.5336,total
69.169,70.3838,muon
69.169,70.3838,total
-564.382,-355.479,muon
-564.382,-355.479,total
34.035,709.186,muon
34.035,709.186,total
1691.51,477.079,muon
1691.51,477.079,total
